product_name,product_link,category,color_count,price,discount,rank_num,rank_subcategory,sold_number
,,curve,,,,,,
,,mens clothes,,,,,,
,,curve,,,,,,
,,mens clothes,,,,,,
,,toys and games,1.0,2.9,,6,in Kids Drawing & Painting Supplies,
,,toys and games,1.0,2.4,,,,600.0
,,toys and games,1.0,3.8,,,,1200.0
,,toys and games,1.0,1.2,,2,in Musical Instruments & Accessories,
,,toys and games,1.0,2.31,0.54,,,500.0
,,toys and games,1.0,6.2,,,,
,,toys and games,1.0,0.56,0.67,2,in Dice Games,
,,toys and games,1.0,4.45,0.16,,,200.0
,,toys and games,1.0,2.9,,,,200.0
,,toys and games,1.0,2.96,0.15,3,in Kids Math Manipulatives,
,,toys and games,1.0,0.9,0.65,1,in Gaming Top Toys,
,,toys and games,1.0,2.9,,,,20.0
